movie_id,person_id
0,8099
0,5942
0,362
0,9981
0,7459
0,6640
0,433
1,3052
1,2418
2,2241
2,1587
2,230
2,2036
2,8669
2,5470
2,3886
3,5327
3,5577
3,8711
3,761
3,10189
3,4889
3,8119
4,5493
4,4256
4,8519
5,7334
5,8785
5,534
5,8200
6,2058
6,8328
6,1238
6,3874
6,8431
6,509
7,8386
7,4807
7,7319
7,8809
7,1116
8,8982
8,6225
8,4556
8,8534
9,6097
9,3447
9,1866
10,7506
10,3073
10,5869
10,1922
10,9999
10,2574
11,413
11,975
12,3257
12,6322
12,5033
12,9671
12,8165
12,9503
12,9098
12,7627
12,1807
12,9189
13,7982
13,2438
14,1675
14,8578
14,2377
14,4872
14,751
14,7217
14,1844
15,5754
15,976
15,9597
15,3108
15,7759
15,278
16,5276
16,8606
17,2165
17,9316
17,402
17,1578
17,7780
18,3915
18,2959
18,7908
18,3950
18,1991
19,7912
19,4586
19,469
19,73
19,905
19,4529
22,9818
22,7892
22,7519
22,1845
22,8899
23,7556
23,4294
23,7747
23,5068
23,6817
24,1644
24,6412
24,5935
25,5888
25,1273
25,4096
25,2209
25,1898
25,1224
26,1770
26,6887
26,3577
26,9471
26,4034
26,5407
26,8430
26,348
26,2799
26,1803
27,1024
27,9847
27,5210
27,168
27,1475
28,2135
28,4243
28,7006
28,3766
28,266
28,8060
29,9004
29,2638
29,7261
29,9683
29,4878
29,3250
29,5647
30,6782
30,4966
30,3606
30,9990
30,6203
31,1123
31,1771
31,2579
31,3426
32,3824
32,5454
32,5869
33,1123
33,1871
34,3052
34,9096
34,7737
34,5277
34,779
34,4234
34,9967
35,7819
35,6821
35,9919
35,1280
35,412
35,10146
35,4528
35,5199
35,4712
35,10134
36,4907
36,5654
36,1016
36,4068
37,5847
37,2522
38,8508
38,44
38,4919
38,7261
38,2684
39,3411
39,4940
40,6463
40,1824
40,8319
40,9186
41,6561
41,8789
41,7348
41,1006
42,3381
42,5279
42,3127
43,645
43,3431
43,2460
43,406
43,3565
43,680
43,5467
43,6824
43,7971
43,4261
43,10212
44,6426
44,362
44,2879
44,7492
44,8281
44,1891
44,1587
44,5122
45,645
45,3431
45,7955
45,1376
45,4702
45,154
45,10261
45,10152
45,1112
45,555
45,2214
46,8904
46,7115
46,4664
46,4845
46,4511
47,3683
47,1212
47,9556
47,9926
48,645
48,3431
48,805
48,3565
48,8979
48,5467
48,406
48,7971
48,2460
49,2815
49,2760
49,7005
49,5106
49,2823
50,2303
50,3443
50,725
50,9812
50,3987
50,6043
50,10040
50,3237
51,9291
51,1980
53,6719
53,3624
53,2153
53,9942
53,6952
53,8600
53,2197
54,6785
54,7165
54,4059
54,9250
54,1007
54,9219
55,1320
55,886
55,5583
55,9952
55,6003
55,8968
55,2411
56,4256
56,1460
56,4762
56,6466
56,370
56,7325
57,10070
57,6278
57,7367
57,2474
57,3524
57,521
58,6459
58,5592
58,1978
58,2921
59,6945
59,6083
59,8666
59,1433
59,891
60,1849
60,9462
60,2556
60,118
60,7528
60,1186
60,39
60,4704
60,2916
60,981
61,9147
61,8907
61,2073
61,7559
61,3944
61,5729
62,1110
62,2096
62,7586
62,6977
62,10018
63,445
63,7647
63,1198
63,10161
63,5157
63,8937
64,510
64,5809
64,2335
64,4004
64,6943
65,6155
65,6702
65,1657
65,7853
65,5593
66,5341
66,9406
66,5158
66,6071
66,8466
66,576
67,8245
67,7112
67,5691
67,8102
67,1934
67,844
67,7940
68,509
68,584
68,6159
68,5170
68,7505
69,9449
69,8888
69,111
69,2848
69,8157
70,7188
70,2507
70,1468
70,2871
70,7212
70,2081
70,9053
71,3073
71,3593
71,818
71,2963
71,9005
71,6641
71,3203
71,3481
71,6143
71,690
72,2522
72,2485
73,5394
73,1514
73,2488
73,3727
74,1684
74,2521
74,3520
74,4280
74,6300
74,6767
74,3940
74,384
74,1524
74,9402
75,938
75,7227
75,2993
76,8400
76,591
76,4717
76,517
76,5476
76,3602
76,2538
76,2382
76,4308
77,1291
77,4489
77,7193
77,1753
77,4370
77,7430
77,5051
77,659
78,8797
78,6348
78,1634
78,1191
78,4867
78,7896
78,511
79,4659
79,5510
79,4958
79,5192
79,4800
80,3695
80,7596
80,3103
80,4173
80,6279
80,0
81,9459
81,54
81,5043
81,1817
81,3806
82,3219
82,9688
82,3135
82,5514
82,4993
83,3080
83,5144
83,9890
83,7092
83,10289
83,3590
84,7617
84,5906
84,348
85,6997
85,6613
85,8249
86,7185
86,7999
86,7553
86,6605
86,3171
86,9629
87,9820
87,822
87,3526
87,4897
87,319
87,6661
88,3480
88,5173
88,9970
88,8045
88,6348
88,273
89,3486
89,7047
89,2511
89,1076
89,8843
89,10069
90,6058
90,5519
90,1953
90,2693
90,4058
90,561
90,6384
90,5420
91,5192
91,4189
92,9828
92,5050
92,3539
92,5040
92,9727
92,5732
92,1102
92,9242
93,3102
93,3052
93,6298
93,5202
93,6015
93,9446
93,898
93,7111
94,6229
94,453
94,8444
94,3565
94,10112
94,8352
95,3285
95,5742
95,8377
95,8818
95,7964
95,9741
95,9620
95,6581
96,6537
96,694
96,313
97,2440
97,3351
97,7104
97,9630
98,3910
98,9865
99,9578
99,6001
99,8042
99,7291
99,4464
99,6366
99,8387
99,5935
99,3185
99,1342
99,9623
99,62
99,4738
99,7371
99,1273
100,1875
100,4537
100,10182
101,7268
101,4608
101,3933
102,2623
102,6971
102,7444
102,5863
102,3580
102,208
102,4
102,4900
102,2207
102,5842
102,9784
102,1286
103,2752
103,128
103,8114
103,351
103,7966
103,7990
103,352
103,7832
104,4874
104,5185
104,7295
