movie_id,person_id
0,5941
1,4854
2,7893
3,7791
4,285
5,3802
6,4669
6,4113
7,4909
8,9190
9,9675
10,5914
11,9412
12,2248
12,2994
13,3225
14,5764
16,5778
17,8521
18,670
19,3246
23,8051
24,6067
25,6771
26,5208
27,7235
28,7687
28,2137
29,6531
30,7500
31,8861
31,2431
32,4497
33,7037
35,9430
37,2941
38,10077
39,2144
40,1772
41,2892
42,5941
43,8405
44,6112
45,97
46,4175
46,7245
47,2857
48,8405
49,7273
49,7601
50,9069
51,89
52,799
54,3954
55,3240
56,2697
57,4797
58,6369
59,6083
60,2194
62,6519
63,4000
63,6919
64,121
65,4113
66,9520
67,665
68,10181
69,8051
69,6383
70,8562
71,7304
72,8248
73,5367
73,7230
74,7304
76,722
78,121
79,5507
80,7879
81,7274
82,4356
83,676
85,5764
86,5359
87,102
88,1201
89,1369
90,1248
91,2468
92,2189
93,175
94,4669
95,1367
97,670
98,5734
99,4901
100,9729
100,4402
101,1038
102,2660
103,7692
104,7281
105,6726
105,8994
105,4300
105,720
105,9223
106,4207
106,2987
108,9028
109,5999
109,9001
110,727
111,10241
111,9358
112,9280
114,9758
116,1876
116,8057
117,9739
118,6796
119,10193
120,4015
121,5058
122,4419
123,4339
123,9495
124,305
125,2697
126,4015
126,5706
127,1579
128,835
128,7906
129,7343
130,4766
131,4861
131,3816
132,3106
132,8716
133,8051
134,9783
135,2189
136,1230
138,1561
139,7809
139,2966
139,3564
140,755
141,4338
142,165
143,4112
144,8402
145,7479
145,8738
146,7811
149,2594
150,6140
151,838
152,7788
153,1205
154,6612
155,3382
156,6494
157,9418
158,5215
159,3657
159,2304
160,2941
161,1834
162,7622
163,6440
164,962
165,6127
166,7462
167,7791
168,7245
168,4127
168,642
169,4797
170,4682
171,2026
172,1445
173,1357
174,3106
175,7075
176,1910
179,2941
180,9360
181,5014
182,7945
183,9106
184,5591
185,3214
185,7347
186,6052
187,9232
187,2448
188,2846
189,6995
190,1406
191,9180
192,2394
193,4032
194,1585
195,3904
196,5971
196,9
197,646
198,4967
198,6408
199,3598
200,9564
201,1585
202,7501
203,8821
204,9690
205,6326
206,10144
206,3930
207,9588
208,8255
209,7103
209,1128
210,1585
210,5843
211,9106
212,10094
213,237
214,4682
216,3843
217,3240
218,1038
219,9616
220,7601
221,3550
222,2194
223,9362
224,2745
225,4901
227,6502
228,5208
229,10077
230,9371
230,4579
231,7196
234,7374
235,7622
236,9576
236,5965
237,3519
238,2857
238,2660
239,1927
240,6359
240,5864
241,8648
243,7075
243,5720
244,5255
245,9358
246,46
247,7788
248,6211
249,5764
250,5256
251,8390
251,6441
252,6896
253,933
253,8840
254,8351
255,3930
256,5764
257,2380
258,8347
259,6779
260,3016
261,3107
262,5029
263,10057
264,4015
265,5959
266,9133
267,5971
267,9
268,4221
269,3550
269,1969
270,7611
271,3302
272,3255
273,6841
275,7879
276,5564
277,7011
277,9293
277,6947
278,3691
279,9517
281,5014
282,4175
282,7245
283,1772
283,10172
284,1011
284,5630
285,881
286,6362
287,8518
287,5146
287,1545
288,3279
289,3519
289,10284
290,2909
291,1585
291,9619
292,339
293,3263
294,3361
295,998
296,4405
297,1178
298,2704
299,10077
300,7459
300,727
301,6420
302,7869
303,6359
303,5864
304,2551
305,4682
306,3077
307,678
307,9367
308,8732
308,8923
309,10090
310,1299
311,3657
312,8315
313,5269
314,5058
315,5518
