movie_id,person_id
1,241
1,736
3,8890
3,6493
5,2549
7,7490
9,6097
10,2480
10,9957
11,9624
11,990
12,194
13,363
13,9191
14,3672
14,8031
15,6594
15,1401
16,5276
16,2610
17,8665
18,7557
18,587
19,546
20,9182
20,7301
20,3615
20,2737
20,6138
20,2067
20,4817
21,7702
22,6780
22,1256
22,7522
22,5554
22,345
22,2421
22,9463
23,7157
24,5719
24,271
25,5888
25,4647
27,5414
28,2826
29,6836
30,2620
32,4328
33,4547
33,9526
34,8965
35,10227
37,5066
37,6461
37,8679
38,2516
39,3862
41,6401
42,10083
44,4560
44,963
46,9224
49,562
50,2303
53,6681
54,3463
56,4701
57,1031
58,7983
59,4132
60,135
61,3017
62,5010
63,8401
64,4216
64,4820
64,4491
65,7435
65,947
65,7213
66,6304
66,6464
67,4650
68,7364
69,9449
69,4883
70,432
70,7158
75,491
76,7525
77,1291
78,542
79,6488
80,3695
82,5399
83,5144
84,2255
84,298
86,10036
87,5866
89,692
91,4028
94,6229
95,2267
96,1512
97,6374
97,8242
97,9162
98,4353
98,9635
99,1189
100,6360
101,5427
101,7268
102,3580
103,8974
104,7441
107,3126
108,9956
108,7998
108,5788
108,1556
108,9044
110,1986
112,6663
112,1064
113,2533
116,7383
118,2076
118,6410
119,7044
119,5366
119,5271
119,8152
122,2100
123,143
124,688
125,2895
125,6844
130,1593
131,4861
133,7891
134,6371
134,3330
136,1289
136,3299
137,7370
137,2543
137,6701
138,6170
139,8790
140,4383
141,7211
143,5830
150,7290
150,10287
150,869
151,4007
153,6735
154,1048
155,5889
156,5718
156,9638
157,8268
158,8774
160,6618
161,1048
163,7468
165,7362
166,1048
171,1939
172,1220
174,1014
174,1745
175,4138
176,371
177,4848
178,5763
184,9295
185,9548
186,1538
186,4352
187,3213
187,9212
188,10050
189,6470
191,9843
193,1253
193,9456
194,6091
194,6604
195,8421
195,1738
197,8463
197,7436
199,5425
200,8991
200,6868
201,5349
201,52
202,4029
205,9646
207,1252
208,2619
209,173
209,7339
210,2320
210,4498
211,3793
212,1190
214,7449
218,6491
221,4249
221,5201
221,5015
224,1233
225,8626
226,9939
227,6502
228,7944
229,9301
230,5440
230,8897
230,6809
231,176
232,5048
232,1696
233,9560
234,5524
236,10260
237,7425
237,1083
240,8074
240,4947
241,9428
242,7467
243,7756
243,6606
244,7684
244,2365
246,5615
246,7802
246,174
246,2682
249,623
249,8106
249,2433
250,1377
251,8170
254,3947
255,9394
255,6792
257,7211
258,8469
258,1216
261,663
261,2234
261,8494
262,1307
262,2925
263,2168
264,10221
265,4581
266,10139
266,9324
268,1522
268,3668
268,2890
269,4992
273,2477
275,1044
276,7820
279,9975
281,9090
283,8877
284,32
285,1048
286,3072
287,6378
288,587
288,7557
288,2796
288,4549
290,7637
290,7803
291,1048
294,8406
295,559
296,3703
296,4654
297,2868
299,4876
300,7935
300,5897
301,4931
305,7449
306,8344
306,7032
307,4012
307,3521
307,8929
307,1584
307,9726
308,8923
309,228
309,1850
310,2483
310,6893
312,8039
313,7017
314,127
316,4912
316,9234
317,5726
319,545
320,7544
321,7899
321,8491
322,5974
323,9666
323,2716
326,4571
327,3810
328,4002
328,10103
329,7965
331,7577
333,6349
333,7785
335,7546
335,5169
335,8748
336,3616
338,7458
340,5105
340,6162
343,7452
344,1355
345,1881
345,8009
346,2923
346,9892
347,1669
348,506
352,1446
352,3631
352,7201
356,5626
357,6417
359,2922
359,10177
361,3903
365,5227
367,4303
368,1724
371,2120
372,4343
376,6517
377,1980
378,1480
381,5235
381,2074
382,3438
383,6028
384,8676
384,3714
387,4726
388,3575
390,6772
390,1783
391,2395
392,7066
396,809
397,9276
397,1053
398,3698
401,4933
401,3352
401,5896
402,1721
402,6244
403,5444
404,8341
405,10044
405,1712
405,1449
408,4963
408,7184
409,4525
410,228
410,1850
411,5314
413,7214
414,8110
414,8224
416,9831
417,895
417,417
418,3786
419,4636
422,6171
422,10271
423,4522
425,6913
426,9216
427,9408
429,6946
430,421
432,8358
434,6668
434,6036
435,10220
436,4866
437,1309
438,5005
440,8213
440,5080
442,9737
442,1096
443,6976
444,8227
444,1649
444,9837
445,1360
446,6960
447,3184
447,164
448,5884
450,6129
450,5281
451,6563
451,6016
452,1675
452,8031
452,3672
452,5283
452,1815
453,8031
453,3672
454,8031
454,3672
454,1675
456,8000
456,1764
457,9983
458,7366
461,8029
461,5154
462,3744
463,8568
464,3235
464,6856
464,2126
469,8096
470,6013
470,2692
471,10174
472,6529
474,394
475,7569
477,2920
477,6718
478,7449
478,6718
479,443
480,7254
480,9639
481,2627
481,8998
481,1720
482,8077
482,10264
483,8345
487,1556
487,9044
492,439
493,3034
495,6745
496,6497
496,3397
496,2712
497,2379
497,1885
499,2910
499,872
500,2910
500,872
503,4632
504,7913
504,9996
505,5963
506,2668
506,6311
513,964
513,1316
516,2296
516,3542
517,8923
518,5857
519,7841
520,5586
521,9274
522,2558
522,3128
523,6720
523,6628
524,7848
525,3061
525,2794
526,188
526,3337
527,1048
528,4095
529,2672
531,9770
532,5819
534,6491
536,988
538,931
540,7872
541,1093
541,9787
541,2348
543,6863
543,9303
543,570
545,6530
546,9513
546,5815
546,4264
548,1574
549,7369
550,4662
552,8890
553,5663
553,6558
557,4778
559,7391
559,7535
559,8214
561,399
561,2932
563,6840
564,3968
565,1175
566,61
566,8718
567,8511
568,6233
570,8027
572,4041
572,859
572,9091
573,9515
574,4393
574,2782
574,9466
577,972
581,1285
582,5715
582,3647
582,4441
584,9977
584,8598
586,2263
587,8787
588,2136
588,45
589,8755
589,33
590,3966
590,3128
590,2558
591,8071
592,420
592,7781
593,5488
595,9012
597,5082
600,6308
600,6087
601,698
601,5479
602,10283
603,4067
603,1132
606,4765
609,9942
609,9130
610,2527
611,10294
611,9236
612,1018
613,6580
613,5330
614,9304
617,3189
618,5688
619,2881
619,1888
619,7567
621,3492
623,9411
624,8915
625,9621
626,396
626,7019
626,4018
628,4735
628,436
631,3501
634,2995
635,5963
635,282
635,4856
637,8700
641,5673
645,2064
645,8734
646,5054
646,7447
649,600
651,10180
653,4500
654,3309
656,2400
657,921
660,5155
661,2996
662,3028
663,6527
663,819
664,2606
664,6663
665,7582
665,5217
666,1507
666,400
667,5153
668,5569
669,4592
670,9915
670,2393
672,6776
673,2264
674,312
675,5817
679,5877
682,4833
684,6754
684,2585
685,8492
687,10175
688,5547
689,746
689,4971
691,3482
692,4719
692,8403
693,8090
693,7396
694,3497
695,4048
695,9171
696,5748
697,9284
697,8754
698,10185
698,1009
699,2841
700,5434
701,9684
701,1410
701,1476
701,10197
702,1808
702,1163
702,9187
703,6621
707,239
708,6646
711,9468
711,6151
712,4742
713,4742
714,4600
714,4939
714,7992
716,1560
718,3893
719,6095
719,8850
720,6901
721,228
722,1534
722,3856
722,10115
723,404
727,3969
727,3474
727,6532
727,9426
729,9209
730,1034
732,5464
734,8734
735,8744
735,4417
736,753
738,3245
738,3339
739,9144
739,1925
742,3797
743,4727
744,9410
746,4551
748,528
750,4228
755,710
755,8206
756,133
757,3876
758,6491
759,10125
760,8981
760,3829
761,5547
764,621
765,7831
765,4604
766,1643
767,3170
769,3065
772,8640
773,3862
774,6518
775,7781
775,420
776,7715
778,3482
781,3507
781,6944
782,8681
782,1421
783,8800
784,9322
785,4609
786,3274
786,6039
788,7095
789,4072
789,7216
790,6282
790,3318
791,9285
792,2749
794,1395
794,2471
796,2946
796,2853
798,473
798,4618
798,9685
801,5127
802,3989
803,3826
803,5506
805,456
805,9534
805,9937
806,5807
806,2722
808,2608
808,5289
809,1119
811,4565
816,420
816,7781
819,6431
820,3966
820,7701
820,9338
821,3993
822,60
822,4156
823,1632
824,3131
825,2970
825,5740
825,3308
827,8679
827,4856
828,8169
830,1304
831,6011
833,5770
833,7147
837,9369
837,6994
838,7234
839,3628
840,4514
840,428
840,1928
843,5733
844,8429
846,9374
847,8220
849,2821
851,2064
852,8909
853,6133
853,9816
853,7076
855,456
856,1909
859,5996
859,3632
861,7082
861,6380
862,4567
863,9486
863,9642
864,2228
864,3122
865,6287
866,4198
867,1804
869,4804
870,1538
870,4352
871,20
874,10232
876,7339
876,1471
877,10225
877,4504
877,1608
877,4734
880,5349
880,52
881,8441
881,2384
882,515
884,721
884,2884
887,3636
887,3872
889,5862
889,1975
890,7162
891,2813
892,675
892,4432
895,8912
897,2972
898,7588
899,327
899,7379
901,3139
902,1348
904,3776
906,315
907,7696
908,5005
909,7109
910,3031
911,1184
911,3425
912,9073
912,7905
912,6829
912,4078
913,7636
914,1362
915,3139
916,3516
916,3701
917,2022
918,1239
919,900
923,2015
925,7466
926,173
928,6066
928,8097
929,6657
930,2778
932,6339
932,6419
933,9031
933,8765
934,10233
934,4947
935,1625
936,3758
941,7581
943,4796
944,1912
944,6693
946,6808
946,1363
947,2934
951,9815
951,3126
952,487
952,9581
952,2637
953,235
955,9310
955,5881
956,616
956,8324
957,1221
957,8583
957,8753
958,8031
958,3672
959,4656
960,8590
961,906
962,7060
966,4834
969,5067
970,5171
970,4784
972,3160
974,3017
979,4573
981,6566
982,6898
983,1853
983,197
983,2498
985,2798
986,6385
987,9363
988,183
988,2624
988,1046
989,3144
992,4049
993,1769
996,4401
997,3898
999,3151
999,9166
1000,4044
1001,8410
1001,2604
1002,6153
1004,6808
1004,1363
1006,8356
1006,619
1007,8995
1008,6320
1010,9215
1010,4409
1011,5263
1011,6582
1011,4376
1012,7852
1012,7395
1013,4457
1013,1407
1014,5930
1017,2816
1017,9380
1018,5047
1022,1660
1025,1485
1025,4703
1027,1048
1028,8576
1028,4644
1029,2124
1029,5353
1031,9285
1034,5213
1036,7891
1038,9889
1038,9544
1039,5073
1040,7592
1041,5851
1041,1643
1043,5010
1045,4008
1047,5193
1047,8076
1048,9284
1048,8754
1049,3211
1051,2113
1052,8065
1052,8688
1052,6047
1053,7822
1054,8915
1055,1141
1057,696
1059,8615
1060,7877
1062,1547
1064,6262
1064,4908
1067,1048
1068,698
1068,5533
1069,884
1070,7464
1070,2049
1071,1269
1071,4498
1071,684
1073,6482
1074,7817
1074,498
1074,9482
1075,341
1077,4753
1079,5374
1080,7292
1081,5301
1083,4238
1084,419
1085,2374
1088,8340
1088,6604
1091,318
1092,9883
1093,3591
1096,1055
1099,508
1099,2098
1101,6877
1101,9241
1103,6328
1103,9731
1105,10001
1105,1162
1107,2795
1108,634
1108,9087
1108,291
1109,9728
1110,7651
1111,6754
1111,2585
1112,7407
1114,8672
1116,9707
1119,1292
1119,9766
1120,2060
1121,4960
1123,5560
1125,1283
1126,5673
1127,5673
1129,2224
1130,2224
1131,1655
1133,4522
1135,7885
1135,8728
1136,5840
1136,3737
1136,8490
1136,7072
1137,5053
1140,3248
1140,583
1141,6777
1141,2559
1142,8697
1142,9238
1143,6462
1143,7442
1144,8803
1144,2571
1145,4574
1146,5775
1147,1674
1147,2838
1147,983
1148,6540
1149,4153
1150,4938
1150,1729
1151,1802
1152,9771
1153,7445
1154,5383
1154,5363
1155,1190
1157,4922
1164,6643
1164,2885
1164,5417
1164,10255
1164,8491
1164,5374
1167,6526
1168,1048
1169,376
1171,6134
1172,3766
1173,8179
1173,8628
1173,7439
1174,6714
1176,7993
1177,8689
1177,5426
1178,7707
1180,446
1181,8852
1183,1822
1183,4104
1185,6683
1185,9591
1186,6138
1186,8551
1187,9332
1189,4474
1192,651
1194,5893
1199,7318
1199,1577
1200,6583
1201,3041
1203,468
1203,4069
1206,8848
1208,7829
1210,4620
1211,2974
1213,2840
1214,5618
1215,485
1215,1296
1219,2577
1221,4594
1222,2415
1223,2499
1223,2262
1224,4683
1225,5001
1225,1575
1226,6823
1227,1940
1227,9433
1228,143
1230,6241
1232,8583
1232,1221
1234,5317
1234,8804
1235,5766
1237,464
1240,5483
1242,1459
1242,878
1243,6416
1243,1850
1243,6663
1244,5388
1245,5849
1245,4187
1245,3985
1246,2491
1246,6281
1246,9751
1247,2043
1248,4981
1249,1141
1251,10179
1253,5547
1254,8304
1254,1061
1255,5460
1256,8093
1257,9642
1259,1351
1262,2289
1264,4477
1265,1121
1267,1564
1268,3723
1270,2553
1271,8272
1272,9794
1274,6234
1276,57
1276,7616
1282,764
1283,5394
1283,8303
1286,10205
1288,3139
1290,9804
1290,8017
1292,8495
1295,5039
1296,7267
1297,4572
1297,2492
1299,1506
1300,3857
1301,3472
1302,9434
1303,5209
1304,1977
1304,9120
1306,2631
1307,9350
1307,5553
1309,323
1309,2441
1310,4495
1310,6503
1312,2134
1313,9658
1317,9879
1318,3614
1319,213
1319,4813
1319,6002
1320,8900
1322,9878
1325,6621
1326,5042
1326,2298
1327,6602
1330,2592
1330,777
1331,7640
1331,3957
1332,3362
1333,8919
1334,3126
1334,8389
1335,7773
1337,6081
1338,7722
1338,4950
1339,206
1339,8751
1339,7564
1339,1674
1340,1498
1341,6088
1341,5072
1343,5728
1345,3736
1347,5565
1349,155
1349,9027
1352,1106
1353,5304
1353,6683
1354,3334
1354,860
1355,3658
1356,7659
1357,4138
1360,8536
1361,1025
1363,2001
1363,5167
1365,7407
1366,7152
1367,6816
1368,2707
1368,4640
1371,6778
1373,1915
1373,5596
1374,9702
1374,800
1375,2907
1376,9647
1376,10147
1376,8180
1379,8166
1380,8917
1380,5020
1381,5346
1382,9621
1383,4931
1383,897
1383,4740
1384,9003
1387,3731
1388,8650
1388,8839
1389,3852
1389,9225
1390,6745
1391,3318
1392,2392
1392,4697
1393,6776
1394,9434
1395,1448
1397,7686
1397,7469
1397,10049
1397,8145
1398,1926
1398,1510
1399,4675
1400,1097
1400,8811
1401,6668
1403,9257
1403,243
1405,2384
1405,8441
1407,8129
1408,5673
1408,2292
1409,3187
1409,6992
1410,3784
1410,5581
1411,314
1411,4460
1414,6057
1414,9261
1415,3752
1416,2341
1416,8977
1418,5563
1418,6076
1419,2396
1419,6932
1419,2459
1420,5010
1421,2177
1421,9963
1422,4521
1422,6557
1424,8113
1424,8727
1425,3845
1426,5488
1427,2353
1427,4578
1428,2554
1429,2604
1431,9260
1432,3188
1433,6250
1436,8375
1437,4153
1439,2934
1442,2150
1443,6787
1444,9900
1444,4046
1445,5258
1445,8094
1447,4080
1448,6176
1448,8935
1449,8186
1450,10140
1450,10265
1450,7948
1451,3057
1451,5022
1452,5177
1454,9185
1455,1059
1456,1399
1457,2980
1458,2980
1460,9394
1461,3535
1462,9790
1463,10186
1464,8441
1465,8731
1465,6040
1465,2689
1466,5789
1468,3362
1471,30
1471,105
1472,4386
1473,115
1473,595
1476,5784
1477,9647
1478,1873
1479,9915
1481,2254
1483,4849
